CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTRY NAME>>,<<COUNTRY GMI
Wuhu City>>,<<CHN-ANH001>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH001
Chaohu City>>,<<CHN-ANH002>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH002
Chuzhou City>>,<<CHN-ANH003>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH003
Huaibei City>>,<<CHN-ANH004>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH004
Suzhou City>>,<<CHN-ANH005>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH005
Tongling City>>,<<CHN-ANH006>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH006
Ma'anshan City>>,<<CHN-ANH007>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH007
Anqing City>>,<<CHN-ANH008>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH008
Bengbu City>>,<<CHN-ANH009>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH009
Lu'an City>>,<<CHN-ANH010>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH010
Bozhou City>>,<<CHN-ANH011>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH011
Hefei City>>,<<CHN-ANH012>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH012
Huangshan City>>,<<CHN-ANH014>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH014
Xuancheng City>>,<<CHN-ANH015>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH015
Huainan City>>,<<CHN-ANH016>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH016
Chizhou City>>,<<CHN-ANH017>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH017
Fuyang City>>,<<CHN-ANH018>>,<<Anhui>>,<<CHN-ANH>>,<<China>>,<<CHN>>,<<CHN-ANH018
Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<China>>,<<CHN>>,<<CHN-BJN001
Quanzhou City>>,<<CHN-FUJ001>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ001
Sanming City>>,<<CHN-FUJ002>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ002
Ningde City>>,<<CHN-FUJ003>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ003
Putian City>>,<<CHN-FUJ004>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ004
Xiamen City>>,<<CHN-FUJ006>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ006
Nanping City>>,<<CHN-FUJ007>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ007
Longyan City>>,<<CHN-FUJ008>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ008
Fuzhou City>>,<<CHN-FUJ009>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ009
Zhangzhou City>>,<<CHN-FUJ010>>,<<Fujian>>,<<CHN-FUJ>>,<<China>>,<<CHN>>,<<CHN-FUJ010
Pingliang City>>,<<CHN-GAN001>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN001
Wuwei City>>,<<CHN-GAN002>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN002
Lanzhou City>>,<<CHN-GAN003>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN003
Linxia Hui Autonomous Prefecture>>,<<CHN-GAN004>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN004
Gannan Tibetan Autonomous Prefecture>>,<<CHN-GAN005>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN005
Baiyin>>,<<CHN-GAN006>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN006
Zhangye City>>,<<CHN-GAN007>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN007
Tianshui>>,<<CHN-GAN008>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN008
Dingxi City>>,<<CHN-GAN009>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN009
Jiuquan City>>,<<CHN-GAN010>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN010
Jiayuguan City>>,<<CHN-GAN011>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN011
Jinchang City>>,<<CHN-GAN012>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN012
Qingyang City>>,<<CHN-GAN013>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN013
Longnan City>>,<<CHN-GAN014>>,<<Gansu>>,<<CHN-GAN>>,<<China>>,<<CHN>>,<<CHN-GAN014
