CITY NAME>>,<<CHINESE NAME>>,<<CITY GMI
Wuhu City>>,<<芜湖>>,<<CHN-ANH001
Chaohu City>>,<<巢湖>>,<<CHN-ANH002
Chuzhou City>>,<<滁州>>,<<CHN-ANH003
Huaibei City>>,<<淮北>>,<<CHN-ANH004
Suzhou City>>,<<宿州>>,<<CHN-ANH005
Tongling City>>,<<铜陵>>,<<CHN-ANH006
Ma'anshan City>>,<<马鞍山>>,<<CHN-ANH007
Anqing City>>,<<安庆>>,<<CHN-ANH008
Bengbu City>>,<<蚌埠>>,<<CHN-ANH009
Lu'an City>>,<<六安>>,<<CHN-ANH010
Bozhou City>>,<<亳州>>,<<CHN-ANH011
Hefei City>>,<<合肥>>,<<CHN-ANH012
Huangshan City>>,<<黄山>>,<<CHN-ANH014
Xuancheng City>>,<<宣城>>,<<CHN-ANH015
Huainan City>>,<<淮南>>,<<CHN-ANH016
Chizhou City>>,<<池州>>,<<CHN-ANH017
Fuyang City>>,<<阜阳>>,<<CHN-ANH018
Beijing City>>,<<北京>>,<<CHN-BJN001
Quanzhou City>>,<<泉州>>,<<CHN-FUJ001
Sanming City>>,<<三明>>,<<CHN-FUJ002
Ningde City>>,<<宁德>>,<<CHN-FUJ003
Putian City>>,<<莆田>>,<<CHN-FUJ004
Xiamen City>>,<<厦门>>,<<CHN-FUJ006
Nanping City>>,<<南平>>,<<CHN-FUJ007
Longyan City>>,<<龙岩>>,<<CHN-FUJ008
Fuzhou City>>,<<福州>>,<<CHN-FUJ009
Zhangzhou City>>,<<漳州>>,<<CHN-FUJ010
Pingliang City>>,<<平凉>>,<<CHN-GAN001
Wuwei City>>,<<武威>>,<<CHN-GAN002
Lanzhou City>>,<<兰州>>,<<CHN-GAN003
Linxia Hui Autonomous Prefecture>>,<<临夏回族自治州>>,<<CHN-GAN004
Gannan Tibetan Autonomous Prefecture>>,<<甘南藏族自治州>>,<<CHN-GAN005
Baiyin>>,<<白银>>,<<CHN-GAN006
Zhangye City>>,<<张掖>>,<<CHN-GAN007
Tianshui>>,<<天水>>,<<CHN-GAN008
Dingxi City>>,<<定西>>,<<CHN-GAN009
Jiuquan City>>,<<酒泉>>,<<CHN-GAN010
Jiayuguan City>>,<<嘉峪关>>,<<CHN-GAN011
Jinchang City>>,<<金昌>>,<<CHN-GAN012
Qingyang City>>,<<庆阳>>,<<CHN-GAN013
Longnan City>>,<<陇南>>,<<CHN-GAN014
Zhaoqing City>>,<<肇庆>>,<<CHN-GND001
Shanwei City>>,<<汕尾>>,<<CHN-GND002
Jieyang City>>,<<揭阳>>,<<CHN-GND003
Zhuhai City>>,<<珠海>>,<<CHN-GND004
Qingyuan City>>,<<清远>>,<<CHN-GND005
Dongguan City>>,<<东莞>>,<<CHN-GND006
Huizhou City>>,<<惠州>>,<<CHN-GND007
Shenzhen City>>,<<深圳>>,<<CHN-GND008
Shaoguan City>>,<<韶关>>,<<CHN-GND009
Meizhou City>>,<<梅州>>,<<CHN-GND010
Guangzhou City>>,<<广州>>,<<CHN-GND011
Chaozhou City>>,<<潮州>>,<<CHN-GND012
Zhongshan City>>,<<中山>>,<<CHN-GND013
Shantou City>>,<<汕头>>,<<CHN-GND014
Yunfu City>>,<<云浮>>,<<CHN-GND015
Yangjiang City>>,<<阳江>>,<<CHN-GND016
Jiangmen City>>,<<江门>>,<<CHN-GND017
Maoming City>>,<<茂名>>,<<CHN-GND018
Zhanjiang City>>,<<湛江>>,<<CHN-GND019
Foshan City>>,<<佛山>>,<<CHN-GND020
Heyuan City>>,<<河源>>,<<CHN-GND021
Yulin City>>,<<玉林>>,<<CHN-GNG001
Qinzhou City>>,<<钦州>>,<<CHN-GNG002
Fangchenggang City>>,<<防城港>>,<<CHN-GNG003
Wuzhou City>>,<<梧州>>,<<CHN-GNG004
Beihai City>>,<<北海>>,<<CHN-GNG005
Hezhou City>>,<<贺州>>,<<CHN-GNG006
Guigang City>>,<<贵港>>,<<CHN-GNG007
Chongzuo City>>,<<崇左>>,<<CHN-GNG008
Nanning City>>,<<南宁>>,<<CHN-GNG009
Liuzhou City>>,<<柳州>>,<<CHN-GNG010
Laibin City>>,<<来宾>>,<<CHN-GNG011
Baise>>,<<百色>>,<<CHN-GNG012
Hechi City>>,<<河池>>,<<CHN-GNG013
Guilin City>>,<<桂林>>,<<CHN-GNG014
Qiandongnan Miao Dong Nationality>>,<<黔东南苗族侗族>>,<<CHN-GUI001
