CONTINENT GMI>>,<<NAME>>,<<FIPS CODE>>,<<ISO 2 CHARACTOR CODE>>,<<ISO 3 CHARACTOR CODE>>,<<GMI CODE
AS-001>>,<<Afghanistan>>,<<AF>>,<<AF>>,<<AFG>>,<<AFG>>,<<AFG
EU-001>>,<<Albania>>,<<AL>>,<<AL>>,<<ALB>>,<<ALB>>,<<ALB
AF-001>>,<<Algeria>>,<<AG>>,<<DZ>>,<<DZA>>,<<DZA>>,<<DZA
OA-001>>,<<American Samoa>>,<<AQ>>,<<AS>>,<<ASM>>,<<ASM>>,<<ASM
EU-001>>,<<Andorra>>,<<AN>>,<<AD>>,<<AND>>,<<AND>>,<<AND
AF-001>>,<<Angola>>,<<AO>>,<<AO>>,<<AGO>>,<<AGO>>,<<AGO
AF-001>>,<<Anguilla>>,<<AV>>,<<AI>>,<<AIA>>,<<AIA>>,<<AIA
AF-001>>,<<Antigua and Barbuda>>,<<AC>>,<<AG>>,<<ATG>>,<<ATG>>,<<ATG
AF-001>>,<<Argentina>>,<<AR>>,<<AR>>,<<ARG>>,<<ARG>>,<<ARG
EU-001>>,<<Armenia>>,<<AM>>,<<AM>>,<<ARM>>,<<ARM>>,<<ARM
AM-001>>,<<Aruba>>,<<AA>>,<<AW>>,<<ABW>>,<<ABW>>,<<ABW
OA-001>>,<<Australia>>,<<AS>>,<<AU>>,<<AUS>>,<<AUS>>,<<AUS
EU-001>>,<<Austria>>,<<AU>>,<<AT>>,<<AUT>>,<<AUT>>,<<AUT
EU-001>>,<<Azerbaijan>>,<<AJ>>,<<AZ>>,<<AZE>>,<<AZE>>,<<AZE
AS-001>>,<<Bahrain>>,<<BA>>,<<BH>>,<<BHR>>,<<BHR>>,<<BHR
AS-001>>,<<Bangladesh>>,<<BG>>,<<BD>>,<<BGD>>,<<BGD>>,<<BGD
AM-001>>,<<Barbados>>,<<BB>>,<<BB>>,<<BRB>>,<<BRB>>,<<BRB
EU-001>>,<<Belarus>>,<<BO>>,<<BY>>,<<BLR>>,<<BLR>>,<<BLR
EU-001>>,<<Belgium>>,<<BE>>,<<BE>>,<<BEL>>,<<BEL>>,<<BEL
AM-001>>,<<Belize>>,<<BH>>,<<BZ>>,<<BLZ>>,<<BLZ>>,<<BLZ
AF-001>>,<<Benin>>,<<BN>>,<<BJ>>,<<BEN>>,<<BEN>>,<<BEN
AM-001>>,<<Bermuda>>,<<BD>>,<<BM>>,<<BMU>>,<<BMU>>,<<BMU
AS-001>>,<<Bhutan>>,<<BT>>,<<BT>>,<<BTN>>,<<BTN>>,<<BTN
AM-001>>,<<Bolivia>>,<<BL>>,<<BO>>,<<BOL>>,<<BOL>>,<<BOL
EU-001>>,<<Bosnia and Herzegovina>>,<<BK>>,<<BA>>,<<BIH>>,<<BIH>>,<<BIH
AF-001>>,<<Botswana>>,<<BC>>,<<BW>>,<<BWA>>,<<BWA>>,<<BWA
AM-001>>,<<Brazil>>,<<BR>>,<<BR>>,<<BRA>>,<<BRA>>,<<BRA
OA-001>>,<<British Indian Ocean Territory>>,<<IO>>,<<IO>>,<<IOT>>,<<IOT>>,<<IOT
AF-001>>,<<British Virgin Islands>>,<<VI>>,<<VG>>,<<VGB>>,<<VGB>>,<<VGB
AS-001>>,<<Brunei>>,<<BX>>,<<BN>>,<<BRN>>,<<BRN>>,<<BRN
EU-001>>,<<Bulgaria>>,<<BU>>,<<BG>>,<<BGR>>,<<BGR>>,<<BGR
AF-001>>,<<Burkina Faso>>,<<UV>>,<<BF>>,<<BFA>>,<<BFA>>,<<BFA
AF-001>>,<<Burundi>>,<<BY>>,<<BI>>,<<BDI>>,<<BDI>>,<<BDI
