CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Cuiaba>>,<<Mato Grosso>>,<<BRA-MGR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA001
Brasilia>>,<<Distrito Federal>>,<<BRA-DFD>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA002
Goiania>>,<<Goias>>,<<BRA-GOI>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA003
Campo Grande>>,<<Mato Grosso do Sul>>,<<BRA-MGD>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA004
Pedro Juan Caballero>>,<<Amambay>>,<<PRY-AMM>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY001
Salto del Guaira>>,<<Canindeyu>>,<<PRY-CNN>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY002
Encarnacion>>,<<Itapua>>,<<PRY-ITA>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY004
Posadas>>,<<Misiones>>,<<ARG-MSN>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG001
Puerto Maldonado>>,<<Madre de Dios>>,<<PER-MDD>>,<<Peru>>,<<PE>>,<<PER>>,<<PER001
Cuzco>>,<<Cusco>>,<<PER-CUS>>,<<Peru>>,<<PE>>,<<PER>>,<<PER002
Abancay>>,<<Apurimac>>,<<PER-APR>>,<<Peru>>,<<PE>>,<<PER>>,<<PER003
Puno>>,<<Puno>>,<<PER-PUN>>,<<Peru>>,<<PE>>,<<PER>>,<<PER004
Arequipa>>,<<Arequipa>>,<<PER-ARQ>>,<<Peru>>,<<PE>>,<<PER>>,<<PER005
La Paz>>,<<La Paz>>,<<BOL-LPA>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL001
Apia>>,<<Samoa>>,<<WSM>>,<<Samoa>>,<<WS>>,<<WSM>>,<<WSM001
Pago Pago>>,<<American Samoa>>,<<ASM>>,<<American Samoa>>,<<AQ>>,<<ASM>>,<<ASM001
Papeete>>,<<French Polynesia>>,<<PYF>>,<<French Polynesia>>,<<FP>>,<<PYF>>,<<PYF001
Alofi>>,<<Niue>>,<<NIU>>,<<Niue>>,<<NE>>,<<NIU>>,<<NIU001
