CITY NAME>>,<<CHINESE NAME>>,<<CITY KEY
Cuiaba>>,<<库亚巴>>,<<BRA001
Brasilia>>,<<巴西利亚>>,<<BRA002
Goiania>>,<<哥亚尼亚>>,<<BRA003
Campo Grande>>,<<坎波格兰德>>,<<BRA004
Pedro Juan Caballero>>,<<佩德罗胡安·洛佩拉>>,<<PRY001
Salto del Guaira>>,<<萨尔托德尔瓜伊拉>>,<<PRY002
Encarnacion>>,<<恩卡纳西翁>>,<<PRY004
Posadas>>,<<波萨达斯>>,<<ARG001
Puerto Maldonado>>,<<马尔多纳多港>>,<<PER001
Cuzco>>,<<库斯科>>,<<PER002
Abancay>>,<<阿班凯>>,<<PER003
Puno>>,<<普诺>>,<<PER004
Arequipa>>,<<阿雷基帕>>,<<PER005
La Paz>>,<<拉巴斯>>,<<BOL001
Apia>>,<<阿皮亚>>,<<WSM001
Pago Pago>>,<<帕果-帕果>>,<<ASM001
Papeete>>,<<帕皮提>>,<<PYF001
Alofi>>,<<阿洛菲>>,<<NIU001
Nuku' alofa>>,<<努库阿洛>>,<<TON001
Puerto Aisen>>,<<波多黎各爱森>>,<<CHL001
Comodoro Rivadavia>>,<<里瓦达维亚海军准将城>>,<<ARG002
Rio Gallegos>>,<<力拓 盖乐葛斯>>,<<ARG003
Punta Arenas>>,<<蓬塔阿雷纳斯>>,<<CHL002
Ushuaia>>,<<乌斯怀亚>>,<<ARG004
San Fernando>>,<<圣费尔南多>>,<<CHL003
Talca>>,<<塔尔卡>>,<<CHL004
Concepcion>>,<<康塞普西翁>>,<<CHL005
Temuco>>,<<特木科>>,<<CHL006
Neuquen>>,<<内乌肯>>,<<ARG005
Puerto Montt>>,<<蒙特港>>,<<CHL007
Antofagasta>>,<<安托法加斯塔>>,<<CHL008
Copiapo>>,<<科皮亚波>>,<<CHL009
La Serena>>,<<拉塞雷纳>>,<<CHL010
San Juan>>,<<圣胡安>>,<<ARG006
Mendoza>>,<<门多萨>>,<<ARG007
Valparaiso>>,<<瓦尔帕莱索>>,<<CHL011
Santiago>>,<<圣地亚哥>>,<<CHL012
Coquimbo>>,<<科金博>>,<<CHL013
Portoviejo>>,<<波托维耶霍>>,<<ECU001
Guaranda>>,<<瓜兰达>>,<<ECU002
Babahoyo>>,<<巴巴奥约>>,<<ECU003
Guayaquil>>,<<瓜亚基尔>>,<<ECU004
Azogues>>,<<阿索格斯>>,<<ECU005
Leticia>>,<<莱蒂西亚>>,<<COL001
Rio Branco>>,<<里奥布朗库>>,<<BRA005
Cobija>>,<<科维哈>>,<<BOL002
Baquerizo Moreno>>,<<巴克里索 莫雷诺>>,<<ECU006
Cuenca>>,<<昆卡>>,<<ECU007
Machala>>,<<马查拉>>,<<ECU008
Tumbes>>,<<通贝斯>>,<<PER006
Loja>>,<<洛哈>>,<<ECU009
Zamora>>,<<萨莫拉>>,<<ECU010
Piura>>,<<皮乌拉>>,<<PER007
Chiclayo>>,<<奇克拉约>>,<<PER008
Trujillo>>,<<特鲁希略>>,<<PER009
Chachapoyas>>,<<查查波亚斯>>,<<PER011
Cajamarca>>,<<卡哈马卡>>,<<PER012
Pucallpa>>,<<普卡尔帕>>,<<PER013
Chimbote>>,<<钦博特>>,<<PER014
Huaraz>>,<<瓦拉斯>>,<<PER015
Huanuco>>,<<瓦努科>>,<<PER016
Cerro De Pasco>>,<<山的帕斯科>>,<<PER017
Quito>>,<<基多>>,<<ECU011
Tena>>,<<特纳>>,<<ECU013
Ambato>>,<<安巴托>>,<<ECU014
Puyo>>,<<普约>>,<<ECU015
Riobamba>>,<<里奥班巴>>,<<ECU016
Macas>>,<<马卡斯>>,<<ECU017
Iquitos>>,<<伊基托斯>>,<<PER018
Callao>>,<<卡亚俄>>,<<PER019
Huancayo>>,<<万卡约>>,<<PER020
Huancavelica>>,<<万卡韦利卡>>,<<PER021
Ayacucho>>,<<阿亚库乔>>,<<PER022
Ica>>,<<伊卡>>,<<PER023
Moquegua>>,<<莫克瓜>>,<<PER024
Tacna>>,<<塔克纳>>,<<PER025
Iquique>>,<<伊基克>>,<<CHL014
Lima>>,<<利马>>,<<PER026
Belem>>,<<贝伦>>,<<BRA006
Manaus>>,<<玛瑙斯>>,<<BRA008
Porto Velho>>,<<波多韦柳>>,<<BRA009
Palmas>>,<<帕尔马斯>>,<<BRA010
Trinidad>>,<<特立尼达>>,<<BOL003
Cochabamba>>,<<科恰班巴>>,<<BOL004
Santa Cruz de La Sierra>>,<<圣克鲁斯山>>,<<BOL005
Oruro>>,<<奥鲁罗>>,<<BOL006
Potosi>>,<<波托西>>,<<BOL008
Fortin Coronel Eugenia Garay>>,<<福丁科罗内尔合金尤金尼亚加>>,<<PRY008
Tarija>>,<<塔里哈>>,<<BOL009
Concepcion>>,<<康塞普西翁>>,<<PRY009
Pozo Colorado>>,<<值得科罗拉多>>,<<PRY010
San Pedro>>,<<圣佩德罗>>,<<PRY011
Asuncion>>,<<亚松森>>,<<PRY012
Artigas>>,<<阿提加斯>>,<<URY001
Santa Fe>>,<<圣达菲>>,<<ARG008
Parana>>,<<巴拉那河>>,<<ARG009
Rosario>>,<<罗萨里奥>>,<<ARG010
La Plata>>,<<拉普拉塔>>,<<ARG011
San Jose De Mayo>>,<<圣何塞梅奥>>,<<URY002
Colonia del Sacramento>>,<<萨克拉门托>>,<<URY003
Canelones>>,<<卡内洛内斯>>,<<URY004
Santa Rosa>>,<<圣罗莎>>,<<ARG012
Bahia Blanca>>,<<布兰卡港>>,<<ARG013
Viedma>>,<<别德马>>,<<ARG014
Rawson>>,<<罗森>>,<<ARG015
Buenos Aires>>,<<布宜诺斯艾利斯>>,<<ARG016
San Salvador De Jujuy>>,<<圣萨尔瓦多的问题>>,<<ARG017
Salta>>,<<萨尔塔省>>,<<ARG018
San Miguel De Tucuman>>,<<圣米格尔-德图库曼>>,<<ARG019
Santiago Del Estero>>,<<圣地亚哥-德尔埃斯特罗>>,<<ARG020
Catamarca>>,<<的卡塔马卡>>,<<ARG021
La Rioja>>,<<拉里奥哈>>,<<ARG022
Cordoba>>,<<科尔多瓦>>,<<ARG023
San Luis>>,<<圣路易斯>>,<<ARG024
Caacupe>>,<<卡库佩>>,<<PRY013
Coronel Oviedo>>,<<科罗内尔合金奥维耶多>>,<<PRY014
Paraguari>>,<<巴拉瓜>>,<<PRY015
Villarrica>>,<<比亚里卡>>,<<PRY016
Formosa>>,<<福尔摩沙>>,<<ARG025
Pilar>>,<<皮拉尔>>,<<PRY017
Resistencia>>,<<雷西斯藤西亚>>,<<ARG026
Corrientes>>,<<特斯>>,<<ARG027
Ypacarai>>,<<伊帕卡拉伊>>,<<PRY018
Caazapa>>,<<卡萨帕>>,<<PRY019
San Juan Bautista>>,<<圣胡安包蒂斯塔>>,<<PRY020
Salto>>,<<萨尔托>>,<<URY005
Paysandu>>,<<派桑杜>>,<<URY006
Fray Bentos>>,<<弗赖本托斯>>,<<URY007
Mercedes>>,<<梅赛德斯>>,<<URY008
Durazno>>,<<杜拉斯诺>>,<<URY009
Trinidad>>,<<特立尼达>>,<<URY010
Sao Paulo>>,<<圣保罗>>,<<BRA011
Santos>>,<<桑托斯>>,<<BRA012
Curitiba>>,<<库里蒂巴>>,<<BRA013
Florianopolis>>,<<弗洛>>,<<BRA014
Porto Alegre>>,<<阿雷格里港>>,<<BRA015
Rivera>>,<<里维拉>>,<<URY011
Tacuarembo>>,<<塔夸伦博>>,<<URY012
Melo>>,<<梅洛>>,<<URY013
Florida>>,<<佛罗里达>>,<<URY015
Minas>>,<<米纳斯吉>>,<<URY016
Rocha>>,<<罗卡>>,<<URY017
Montevideo>>,<<蒙得维的亚>>,<<URY019
Salvador>>,<<萨尔瓦多>>,<<BRA016
Belo Horizonte>>,<<贝洛奥里藏特>>,<<BRA017
Vitoria>>,<<维多利亚>>,<<BRA018
Rio de Janeiro>>,<<里约热内卢>>,<<BRA019
Niteroi>>,<<尼泰罗伊>>,<<BRA020
Fortaleza>>,<<福塔雷萨>>,<<BRA022
Teresina>>,<<特雷西纳>>,<<BRA023
Natal>>,<<纳塔尔>>,<<BRA024
Joao Pessoa>>,<<若昂佩索阿>>,<<BRA025
Recife>>,<<累西腓>>,<<BRA026
Maceio>>,<<马塞约>>,<<BRA027
Aracaju>>,<<阿拉卡茹>>,<<BRA028
Galveston>>,<<加尔维斯顿>>,<<USA001
Yellowknife>>,<<耶洛奈夫>>,<<CAN001
Juneau>>,<<朱诺>>,<<USA002
Jackson>>,<<杰克逊>>,<<USA003
Baton Rouge>>,<<巴吞鲁日>>,<<USA004
New Orleans>>,<<新奥尔良>>,<<USA005
Houston>>,<<休斯顿>>,<<USA006
Prince Rupert>>,<<鲁伯特王子城>>,<<CAN002
Whitehorse>>,<<怀特霍斯>>,<<CAN003
Honolulu>>,<<火奴鲁鲁>>,<<USA010
Hilo>>,<<希洛>>,<<USA011
Edmonton>>,<<埃德蒙顿>>,<<CAN004
Calgary>>,<<卡尔加里>>,<<CAN005
Vancouver>>,<<温哥华>>,<<CAN006
Victoria>>,<<维多利亚>>,<<CAN007
Seattle>>,<<西雅图>>,<<USA013
Olympia>>,<<奥林匹亚>>,<<USA014
Portland>>,<<波特兰>>,<<USA015
Bismarck>>,<<俾斯麦>>,<<USA016
Churchill>>,<<丘吉尔>>,<<CAN009
Saskatoon>>,<<萨斯卡通>>,<<CAN010
Winnipeg>>,<<温尼伯>>,<<CAN012
Helena>>,<<海伦娜>>,<<USA017
Saint Paul>>,<<圣保罗>>,<<USA018
Pierre>>,<<皮埃尔>>,<<USA019
Minneapolis>>,<<明尼阿波利斯>>,<<USA020
Des Moines>>,<<得梅因>>,<<USA021
Lincoln>>,<<林肯>>,<<USA022
Topeka>>,<<托皮卡>>,<<USA023
Oklahoma City>>,<<俄克拉荷马城>>,<<USA024
San Diego>>,<<圣地亚哥>>,<<USA025
Mexicali>>,<<墨西卡利>>,<<MEX001
Boise>>,<<博伊西>>,<<USA026
Oakland>>,<<奥克兰>>,<<USA027
Carson City>>,<<卡森城>>,<<USA029
Sacramento>>,<<萨克拉门托>>,<<USA030
San Francisco>>,<<旧金山>>,<<USA031
San Jose>>,<<圣何塞>>,<<USA032
Los Angeles>>,<<洛杉矶>>,<<USA033
Cheyenne>>,<<夏延>>,<<USA034
Salt Lake City>>,<<盐湖城>>,<<USA035
Denver>>,<<丹佛>>,<<USA036
Kansas City>>,<<堪萨斯城>>,<<USA037
Jefferson City>>,<<杰佛逊市>>,<<USA039
Santa Fe>>,<<圣达菲>>,<<USA040
Little Rock>>,<<小石城>>,<<USA042
Phoenix>>,<<凤凰城>>,<<USA043
El Paso>>,<<厄尔巴索>>,<<USA044
Hermosillo>>,<<埃莫西约>>,<<MEX002
Chihuahua>>,<<奇瓦瓦>>,<<MEX003
Culiacan>>,<<库利亚坎>>,<<MEX004
La Paz>>,<<拉巴斯>>,<<MEX005
Durango>>,<<杜兰戈>>,<<MEX006
Zacatecas>>,<<萨卡特卡斯>>,<<MEX008
Dallas>>,<<达拉斯>>,<<USA045
Austin>>,<<奥斯汀>>,<<USA046
San Antonio>>,<<圣安东尼奥>>,<<USA047
Monterrey>>,<<蒙特雷>>,<<MEX009
Saltillo>>,<<萨尔提略>>,<<MEX010
Ciudad Victoria>>,<<维多利亚城>>,<<MEX011
Aguascalientes>>,<<阿瓜斯卡连特斯>>,<<MEX012
Tepic>>,<<特皮克>>,<<MEX013
Guanajuato>>,<<瓜纳华托>>,<<MEX014
Guadalajara>>,<<瓜达拉哈拉>>,<<MEX015
Colima>>,<<科利马>>,<<MEX016
Tampico>>,<<坦皮科>>,<<MEX017
Campeche>>,<<坎佩切>>,<<MEX018
Jalapa>>,<<哈拉巴>>,<<MEX019
Tlaxcala>>,<<特拉斯卡拉>>,<<MEX020
Puebla>>,<<普埃布拉>>,<<MEX021
Oaxaca>>,<<瓦哈卡>>,<<MEX023
Tuxtla Gutierrez>>,<<图斯特拉-古铁雷斯>>,<<MEX024
Veracruz>>,<<韦拉克鲁斯>>,<<MEX025
San Luis Potosi>>,<<圣路易斯波托西>>,<<MEX026
Queretaro>>,<<克雷>>,<<MEX027
Pachuca>>,<<帕丘卡>>,<<MEX028
Morelia>>,<<莫雷利亚>>,<<MEX029
Mexico City>>,<<墨西哥城>>,<<MEX030
Toluca>>,<<托卢卡>>,<<MEX031
Cuernavaca>>,<<库埃纳瓦卡>>,<<MEX032
Acapulco>>,<<阿卡普尔科>>,<<MEX034
Coban>>,<<科班>>,<<GTM001
Huehuetenango>>,<<韦韦特南戈>>,<<GTM002
Santa Cruz Del Quiche>>,<<圣克鲁斯德尔基切>>,<<GTM003
San Marcos>>,<<圣马科斯>>,<<GTM004
Totonicapan>>,<<托托尼卡潘>>,<<GTM005
Quezaltenango>>,<<克萨尔特南戈>>,<<GTM006
Solola>>,<<索洛拉>>,<<GTM007
Retalhuleu>>,<<雷塔卢莱乌>>,<<GTM008
Mazatenango>>,<<马萨特南戈>>,<<GTM009
Salama>>,<<沙拉马>>,<<GTM010
El Progreso>>,<<普罗格雷索>>,<<GTM011
Chimaltenango>>,<<奇马尔特南戈>>,<<GTM012
Guatemala>>,<<危地马拉>>,<<GTM013
Antigua Guatemala>>,<<危地马拉安提瓜>>,<<GTM014
Escuintla>>,<<埃斯昆特拉>>,<<GTM015
Cuilapa>>,<<古依拉巴市>>,<<GTM016
Pinar Del Rio>>,<<覆河>>,<<CUB001
Santa Clara>>,<<圣克拉拉>>,<<CUB002
Cienfuegos>>,<<西恩富戈斯>>,<<CUB003
Sancti Spiritus>>,<<圣斯皮里图斯>>,<<CUB004
Nueva Gerona>>,<<配备赫罗那>>,<<CUB005
Ciego De Avila>>,<<谢戈德阿拉维>>,<<CUB006
Halifax>>,<<哈利法克斯>>,<<CAN013
Hamilton>>,<<汉密尔顿>>,<<BMU001
Alajuela>>,<<阿拉胡埃拉>>,<<CRI001
Heredia>>,<<埃雷迪亚>>,<<CRI002
Puerto Limon>>,<<利蒙港>>,<<CRI003
San Jose>>,<<圣何塞>>,<<CRI004
Cartago>>,<<卡塔戈>>,<<CRI005
Bocas del Toro>>,<<博卡斯-德尔托罗>>,<<PAN001
David>>,<<大卫>>,<<PAN002
Oranjestad>>,<<奥兰杰士塔>>,<<ABW001
Willemstad>>,<<威廉斯塔德>>,<<ANT001
Riohacha>>,<<里奥阿查>>,<<COL002
Coro>>,<<科罗>>,<<VEN001
Santiago>>,<<圣地亚哥>>,<<PAN003
Chitre>>,<<契特雷>>,<<PAN004
Las Tablas>>,<<拉斯维加斯重重的>>,<<PAN005
San Carlos>>,<<圣卡洛斯>>,<<NIC001
Liberia>>,<<利比里亚>>,<<CRI006
Puntarenas>>,<<蓬塔雷纳斯>>,<<CRI007
