PREFECTURE NAME>>,<<PREFECTURE GMI>>,<<CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<PREFECTURE GMI
Guzhen Xian>>,<<340323>>,<<Bengbu City>>,<<CHN-ANH009>>,<<Anhui>>,<<CHN-ANH>>,<<Chinese>>,<<CHN>>,<<340323
Dongcheng District>>,<<110101>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110101
Xicheng District>>,<<110102>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110102
Chaoyang District>>,<<110105>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110105
FengTai District>>,<<110106>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110106
Shijingshan District>>,<<110107>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110107
Haidian Distric>>,<<110108>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110108
Mentougou District>>,<<110109>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110109
Fangshan District>>,<<110111>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110111
Tongzhou District>>,<<110112>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110112
Shunyi District>>,<<110113>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110113
Changping District>>,<<110114>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110114
Daxing District>>,<<110115>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110115
Huairou District>>,<<110116>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110116
Pinggu District>>,<<110117>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110117
Miyun Xian>>,<<110228>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110228
Yanqing Xian>>,<<110229>>,<<Beijing City>>,<<CHN-BJN001>>,<<Beijing>>,<<CHN-BJN>>,<<Chinese>>,<<CHN>>,<<110229
peace zone>>,<<120101>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120101
East River District>>,<<120102>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120102
Hexi District>>,<<120103>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120103
Nankai District>>,<<120104>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120104
Hebei District>>,<<120105>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120105
Hongqiao District>>,<<120106>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120106
Dongli District>>,<<120110>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120110
Xiqing District>>,<<120111>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120111
Jinnan District>>,<<120112>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120112
Beichen District>>,<<120113>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120113
Wuqing District>>,<<120114>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120114
Baodi District>>,<<120115>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120115
Binhai New Area>>,<<120116>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120116
Ninghe District>>,<<120221>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120221
Jinghai Xian>>,<<120223>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120223
Ji Zhou District>>,<<120225>>,<<Tianjin City>>,<<CHN-TNJ001>>,<<Tianjin>>,<<CHN-TNJ>>,<<Chinese>>,<<CHN>>,<<120225
Changan District>>,<<130102>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130102
Bridge West>>,<<130104>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130104
Xinhua District>>,<<130105>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130105
Jingxing mining area>>,<<130107>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130107
Yuhua District>>,<<130108>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130108
Jingxing Xian>>,<<130121>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130121
Zhengding Xian>>,<<130123>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130123
Luancheng District>>,<<130124>>,<<Shijiazhuang>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130124
Xingtang County>>,<<130125>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130125
Lingshou County>>,<<130126>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130126
Gaoyi County>>,<<130127>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130127
Shenze County>>,<<130128>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130128
Zanhuang County>>,<<130129>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130129
Wuji County>>,<<130130>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130130
Pingshan County>>,<<130131>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130131
Yuanshi County>>,<<130132>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130132
Zhaoxian County>>,<<130133>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130133
Xinji City>>,<<130181>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130181
Gaocheng District>>,<<130182>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130182
Jinzhou City>>,<<130183>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130183
