PREFECTURE NAME>>,<<CHINESE NAME>>,<<PREFECTURE GMI
Guzhen Xian>>,<<固镇县>>,<<340323
Mengcheng County>>,<<蒙城县>>,<<341622
Huaiyuan Xian>>,<<怀远县>>,<<340321
Lixin County>>,<<利辛县>>,<<341623
Dingyuan County>>,<<定远县>>,<<341125
Fengyang County>>,<<凤阳县>>,<<341126
Datong Area>>,<<大通区>>,<<340402
Tianjia'an District>>,<<田家庵区>>,<<340403
Changfeng Xian>>,<<长丰县>>,<<340121
Yingshang County>>,<<颍上县>>,<<341226
Hanshan County>>,<<含山县>>,<<340522
Feidong Xian>>,<<肥东县>>,<<340122
Luyang District>>,<<庐阳区>>,<<340103
Yaohai District>>,<<瑶海区>>,<<340102
Jin'an District>>,<<金安区>>,<<341502
Yu'an District>>,<<裕安区>>,<<341503
Yeji District>>,<<叶集区>>,<<341504
Yijiang District>>,<<弋江区>>,<<340203
Sanshan District>>,<<三山区>>,<<340208
Wuwei County>>,<<无为县>>,<<340225
Jinghu District>>,<<镜湖区>>,<<340202
Fangchang Xian>>,<<繁昌县>>,<<340222
Lujiang County>>,<<庐江县>>,<<340124
Zongyang Xian>>,<<枞阳县>>,<<340823
Tongcheng City>>,<<桐城市>>,<<340881
Huoshan County>>,<<霍山县>>,<<341525
Shucheng County>>,<<舒城县>>,<<341523
Yuexi Xian>>,<<岳西县>>,<<340828
Jingxian County>>,<<泾县>>,<<341823
Mount Huangshan District>>,<<黄山区>>,<<341003
Guichi District>>,<<贵池区>>,<<341702
Dongzhi County>>,<<东至县>>,<<341721
Qianshan Xian>>,<<潜山县>>,<<340824
Huaining Xian>>,<<怀宁县>>,<<340822
Taihu Xian>>,<<太湖县>>,<<340825
Susong Xian>>,<<宿松县>>,<<340826
Huizhou District>>,<<徽州区>>,<<341004
Tunxi District>>,<<屯溪区>>,<<341002
Xiejiaji District>>,<<谢家集区>>,<<340404
Jiujiang District>>,<<鸠江区>>,<<340207
Chaohu City>>,<<巢湖市>>,<<340181
Jingde County>>,<<旌德县>>,<<341825
Qingyang County>>,<<青阳县>>,<<341723
Shitai County>>,<<石台县>>,<<341722
