PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Azuay>>,<<EC02>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-AZU>>,<<ECU-AZU
El Oro>>,<<EC08>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-EOR>>,<<ECU-EOR
Loja>>,<<EC12>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-LOJ>>,<<ECU-LOJ
Zamora-Chinchipe>>,<<EC20>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-ZCH>>,<<ECU-ZCH
Gao>>,<<ML02>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-GAO>>,<<MLI-GAO
Lambayeque>>,<<PE14>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-LMB>>,<<PER-LMB
Piura>>,<<PE20>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-PIU>>,<<PER-PIU
Tumbes>>,<<PE24>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-TMB>>,<<PER-TMB
South Georgia & the South Sandwich Is.>>,<<SX>>,<<South Georgia & the South Sandwich Is.>>,<<SX>>,<<GBR>>,<<SGS>>,<<SGS
La Paz>>,<<BL04>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-LPA>>,<<BOL-LPA
Ocean Islands>>,<<CI>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-PS1>>,<<CHL-PS1
Galapagos>>,<<EC01>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-GLP>>,<<ECU-GLP
Pitcairn Is.>>,<<PC>>,<<Pitcairn Is.>>,<<PC>>,<<PCN>>,<<PCN>>,<<PCN
Apurimac>>,<<PE03>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-APR>>,<<PER-APR
Arequipa>>,<<PE04>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-ARQ>>,<<PER-ARQ
Cusco>>,<<PE08>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-CUS>>,<<PER-CUS
Madre de Dios>>,<<PE17>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-MDD>>,<<PER-MDD
Puno>>,<<PE21>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-PUN>>,<<PER-PUN
American Samoa>>,<<AQ>>,<<American Samoa>>,<<AQ>>,<<ASM>>,<<ASM>>,<<ASM
Cook Is.>>,<<CW>>,<<Cook Is.>>,<<CW>>,<<COK>>,<<COK>>,<<COK
Niue>>,<<NE>>,<<Niue>>,<<NE>>,<<NIU>>,<<NIU>>,<<NIU
French Polynesia>>,<<FP>>,<<French Polynesia>>,<<FP>>,<<PYF>>,<<PYF>>,<<PYF
Tokelau>>,<<TL>>,<<Tokelau>>,<<TL>>,<<TKL>>,<<TKL>>,<<TKL
Tonga>>,<<TN>>,<<Tonga>>,<<TN>>,<<TON>>,<<TON>>,<<TON
Jarvis I.>>,<<DQ>>,<<Jarvis I.>>,<<DQ>>,<<UMI>>,<<UMI-JVI>>,<<UMI-JVI
Wallis & Futuna>>,<<WF>>,<<Wallis & Futuna>>,<<WF>>,<<WLF>>,<<WLF>>,<<WLF
Samoa>>,<<WS>>,<<Samoa>>,<<WS>>,<<WSM>>,<<WSM>>,<<WSM
Santa Cruz>>,<<AR20>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SCR>>,<<ARG-SCR
Tierra del Fuego>>,<<AR23>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-TDF>>,<<ARG-TDF
Oruro>>,<<BL05>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-ORU>>,<<BOL-ORU
Aisen del General Carlos Ibanez del Campo>>,<<CI02>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-ADG>>,<<CHL-ADG
Magallanes y de la Antartica Chilena>>,<<CI10>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-MYA>>,<<CHL-MYA
Tarapaca>>,<<CI13>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-TRP>>,<<CHL-TRP
Falkland Islands>>,<<FK>>,<<Falkland Is.>>,<<FK>>,<<FLK>>,<<FLK>>,<<FLK
Moquegua>>,<<PE18>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-MOQ>>,<<PER-MOQ
Tacna>>,<<PE23>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-TAC>>,<<PER-TAC
San Juan>>,<<AR18>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SJU>>,<<ARG-SJU
Antofagasta>>,<<CI03>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-ANT>>,<<CHL-ANT
Atacama>>,<<CI05>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-ATC>>,<<CHL-ATC
Coquimbo>>,<<CI07>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-CQM>>,<<CHL-CQM
Region Metropolitana>>,<<CI12>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-RMT>>,<<CHL-RMT
Valparaiso>>,<<CI01>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-VLP>>,<<CHL-VLP
Chubut>>,<<AR04>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-CHB>>,<<ARG-CHB
Mendoza>>,<<AR13>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-MND>>,<<ARG-MND
Neuquen>>,<<AR15>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-NEU>>,<<ARG-NEU
Araucania>>,<<CI04>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-ARC>>,<<CHL-ARC
Bio-Bio>>,<<CI06>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-BIO>>,<<CHL-BIO
Libertador General Bernardo O'Higgins>>,<<CI08>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-LGB>>,<<CHL-LGB
Los Lagos>>,<<CI09>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-LLA>>,<<CHL-LLA
Maule>>,<<CI11>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL-MAU>>,<<CHL-MAU
Bolivar>>,<<EC03>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-BLV>>,<<ECU-BLV
Canar>>,<<EC04>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-CAN>>,<<ECU-CAN
Cotopaxi>>,<<EC07>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-CTP>>,<<ECU-CTP
Guayas>>,<<EC10>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-GUA>>,<<ECU-GUA
Los Rios>>,<<EC13>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-LRI>>,<<ECU-LRI
Manabi>>,<<EC14>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-MAN>>,<<ECU-MAN
Acre>>,<<BR01>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-ACR>>,<<BRA-ACR
Amazonas>>,<<CO01>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-AMZ>>,<<COL-AMZ
Ancash>>,<<PE02>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-ANC>>,<<PER-ANC
Cajamarca>>,<<PE06>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-CJM>>,<<PER-CJM
Huanuco>>,<<PE10>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-HUA>>,<<PER-HUA
La Libertad>>,<<PE13>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-LLB>>,<<PER-LLB
Pasco>>,<<PE19>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-PAS>>,<<PER-PAS
