PROVINCE NAME>>,<<CHINESE NAME>>,<<PROVINCE GMI
Azuay>>,<<Azuay>>,<<ECU-AZU
El Oro>>,<<El Oro>>,<<ECU-EOR
Loja>>,<<Loja>>,<<ECU-LOJ
Zamora-Chinchipe>>,<<Zamora-Chinchipe>>,<<ECU-ZCH
Gao>>,<<Gao>>,<<MLI-GAO
Lambayeque>>,<<Lambayeque>>,<<PER-LMB
Piura>>,<<Piura>>,<<PER-PIU
Tumbes>>,<<Tumbes>>,<<PER-TMB
South Georgia & the South Sandwich Is.>>,<<South Georgia & the South Sandwich Is.>>,<<SGS
La Paz>>,<<La Paz>>,<<BOL-LPA
Ocean Islands>>,<<Ocean Islands>>,<<CHL-PS1
Galapagos>>,<<Galapagos>>,<<ECU-GLP
Pitcairn Is.>>,<<Pitcairn Is.>>,<<PCN
Apurimac>>,<<Apurimac>>,<<PER-APR
Arequipa>>,<<Arequipa>>,<<PER-ARQ
Cusco>>,<<Cusco>>,<<PER-CUS
Madre de Dios>>,<<Madre de Dios>>,<<PER-MDD
Puno>>,<<Puno>>,<<PER-PUN
American Samoa>>,<<American Samoa>>,<<ASM
Cook Is.>>,<<Cook Is.>>,<<COK
Niue>>,<<Niue>>,<<NIU
French Polynesia>>,<<French Polynesia>>,<<PYF
Tokelau>>,<<Tokelau>>,<<TKL
Tonga>>,<<Tonga>>,<<TON
Jarvis I.>>,<<Jarvis I.>>,<<UMI-JVI
Wallis & Futuna>>,<<Wallis & Futuna>>,<<WLF
Samoa>>,<<Samoa>>,<<WSM
Santa Cruz>>,<<Santa Cruz>>,<<ARG-SCR
Tierra del Fuego>>,<<Tierra del Fuego>>,<<ARG-TDF
Oruro>>,<<Oruro>>,<<BOL-ORU
Aisen del General Carlos Ibanez del Campo>>,<<Aisen del General Carlos Ibanez del Campo>>,<<CHL-ADG
Magallanes y de la Antartica Chilena>>,<<Magallanes y de la Antartica Chilena>>,<<CHL-MYA
Tarapaca>>,<<Tarapaca>>,<<CHL-TRP
Falkland Islands>>,<<Falkland Islands>>,<<FLK
Moquegua>>,<<Moquegua>>,<<PER-MOQ
Tacna>>,<<Tacna>>,<<PER-TAC
San Juan>>,<<San Juan>>,<<ARG-SJU
Antofagasta>>,<<Antofagasta>>,<<CHL-ANT
Atacama>>,<<Atacama>>,<<CHL-ATC
Coquimbo>>,<<Coquimbo>>,<<CHL-CQM
Region Metropolitana>>,<<Region Metropolitana>>,<<CHL-RMT
Valparaiso>>,<<Valparaiso>>,<<CHL-VLP
Chubut>>,<<Chubut>>,<<ARG-CHB
Mendoza>>,<<Mendoza>>,<<ARG-MND
Neuquen>>,<<Neuquen>>,<<ARG-NEU
Araucania>>,<<Araucania>>,<<CHL-ARC
Bio-Bio>>,<<Bio-Bio>>,<<CHL-BIO
Libertador General Bernardo O'Higgins>>,<<Libertador General Bernardo O'Higgins>>,<<CHL-LGB
Los Lagos>>,<<Los Lagos>>,<<CHL-LLA
Maule>>,<<Maule>>,<<CHL-MAU
Bolivar>>,<<Bolivar>>,<<ECU-BLV
Canar>>,<<Canar>>,<<ECU-CAN
Cotopaxi>>,<<Cotopaxi>>,<<ECU-CTP
Guayas>>,<<Guayas>>,<<ECU-GUA
Los Rios>>,<<Los Rios>>,<<ECU-LRI
Manabi>>,<<Manabi>>,<<ECU-MAN
Acre>>,<<Acre>>,<<BRA-ACR
Amazonas>>,<<Amazonas>>,<<COL-AMZ
Ancash>>,<<Ancash>>,<<PER-ANC
Cajamarca>>,<<Cajamarca>>,<<PER-CJM
Huanuco>>,<<Huanuco>>,<<PER-HUA
La Libertad>>,<<La Libertad>>,<<PER-LLB
Pasco>>,<<Pasco>>,<<PER-PAS
San Martin>>,<<San Martin>>,<<PER-SMR
Ucayali>>,<<Ucayali>>,<<PER-UCY
Chimborazo>>,<<Chimborazo>>,<<ECU-CHM
Morona-Santiago>>,<<Morona-Santiago>>,<<ECU-MSN
Napo>>,<<Napo>>,<<ECU-NAP
Pichincha>>,<<Pichincha>>,<<ECU-PCH
Pastaza>>,<<Pastaza>>,<<ECU-PST
Tungurahua>>,<<Tungurahua>>,<<ECU-TNG
Amazonas>>,<<Amazonas>>,<<PER-AMZ
Loreto>>,<<Loreto>>,<<PER-LOR
Ayacucho>>,<<Ayacucho>>,<<PER-AYC
Callao>>,<<Callao>>,<<PER-CAL
Huancavelica>>,<<Huancavelica>>,<<PER-HNC
Ica>>,<<Ica>>,<<PER-ICA
Junin>>,<<Junin>>,<<PER-JUN
Lima>>,<<Lima>>,<<PER-LIM
Pando>>,<<Pando>>,<<BOL-PAN
Amazonas>>,<<Amazonas>>,<<BRA-AMZ
Litigated Zone>>,<<Litigated Zone>>,<<BRA-LT1
Maranhao>>,<<Maranhao>>,<<BRA-MRN
Para>>,<<Para>>,<<BRA-PAR
Rondonia>>,<<Rondonia>>,<<BRA-RND
Tocantins>>,<<Tocantins>>,<<BRA-TCN
Cochabamba>>,<<Cochabamba>>,<<BOL-CCH
Chuquisaca>>,<<Chuquisaca>>,<<BOL-CHQ
El Beni>>,<<El Beni>>,<<BOL-EBE
Potosi>>,<<Potosi>>,<<BOL-POT
Santa Cruz>>,<<Santa Cruz>>,<<BOL-SCR
Tarija>>,<<Tarija>>,<<BOL-TAR
Alto Paraguay>>,<<Alto Paraguay>>,<<PRY-APR
Chaco>>,<<Chaco>>,<<PRY-CHA
Nueva Asuncion>>,<<Nueva Asuncion>>,<<PRY-NAS
Distrito Federal>>,<<Distrito Federal>>,<<BRA-DFD
Goias>>,<<Goias>>,<<BRA-GOI
Mato Grosso do Sul>>,<<Mato Grosso do Sul>>,<<BRA-MGD
Minas Gerais>>,<<Minas Gerais>>,<<BRA-MGE
Mato Grosso>>,<<Mato Grosso>>,<<BRA-MGR
Buenos Aires>>,<<Buenos Aires>>,<<ARG-BAI
Distrito Federal>>,<<Distrito Federal>>,<<ARG-DFD
La Pampa>>,<<La Pampa>>,<<ARG-LPA
Rio Negro>>,<<Rio Negro>>,<<ARG-RNE
San Luis>>,<<San Luis>>,<<ARG-SLU
Colonia>>,<<Colonia>>,<<URY-COL
San Jose>>,<<San Jose>>,<<URY-SJO
Cordoba>>,<<Cordoba>>,<<ARG-CRD
Catamarca>>,<<Catamarca>>,<<ARG-CTM
Jujuy>>,<<Jujuy>>,<<ARG-JUJ
La Rioja>>,<<La Rioja>>,<<ARG-LRI
Salta>>,<<Salta>>,<<ARG-SAL
Santiago del Estero>>,<<Santiago del Estero>>,<<ARG-SDE
Tucuman>>,<<Tucuman>>,<<ARG-TCM
Chaco>>,<<Chaco>>,<<ARG-CHA
Formosa>>,<<Formosa>>,<<ARG-FRM
Boqueron>>,<<Boqueron>>,<<PRY-BQR
Concepcion>>,<<Concepcion>>,<<PRY-CNC
Cordillera>>,<<Cordillera>>,<<PRY-CRD
Presidente Hayes>>,<<Presidente Hayes>>,<<PRY-PHA
San Pedro>>,<<San Pedro>>,<<PRY-SPE
Central>>,<<Central>>,<<PRY-CNT
Guaira>>,<<Guaira>>,<<PRY-GUA
Misiones>>,<<Misiones>>,<<PRY-MSN
Neembucu>>,<<Neembucu>>,<<PRY-NMB
Paraguari>>,<<Paraguari>>,<<PRY-PRG
Corrientes>>,<<Corrientes>>,<<ARG-CRR
Entre Rios>>,<<Entre Rios>>,<<ARG-ERI
Santa Fe>>,<<Santa Fe>>,<<ARG-SFE
Artigas>>,<<Artigas>>,<<URY-ART
Flores>>,<<Flores>>,<<URY-FLR
Paysandu>>,<<Paysandu>>,<<URY-PYS
Rio Negro>>,<<Rio Negro>>,<<URY-RNE
Salto>>,<<Salto>>,<<URY-SAL
Soriano>>,<<Soriano>>,<<URY-SOR
Rio Grande do Sul>>,<<Rio Grande do Sul>>,<<BRA-RGS
Sao Paulo>>,<<Sao Paulo>>,<<BRA-SPA
Cerro Largo>>,<<Cerro Largo>>,<<URY-CLA
Durazno>>,<<Durazno>>,<<URY-DRZ
Rivera>>,<<Rivera>>,<<URY-RIV
Tacuarembo>>,<<Tacuarembo>>,<<URY-TCR
Treinta y Tres>>,<<Treinta y Tres>>,<<URY-TYT
Misiones>>,<<Misiones>>,<<ARG-MSN
Parana>>,<<Parana>>,<<BRA-PAN
Santa Catarina>>,<<Santa Catarina>>,<<BRA-SCT
Amambay>>,<<Amambay>>,<<PRY-AMM
Alto Parana>>,<<Alto Parana>>,<<PRY-APA
Caaguazu>>,<<Caaguazu>>,<<PRY-CAA
Caazapa>>,<<Caazapa>>,<<PRY-CAZ
Canindeyu>>,<<Canindeyu>>,<<PRY-CNN
Itapua>>,<<Itapua>>,<<PRY-ITA
Canelones>>,<<Canelones>>,<<URY-CNL
Florida>>,<<Florida>>,<<URY-FLD
Lavalleja>>,<<Lavalleja>>,<<URY-LVL
Maldonado>>,<<Maldonado>>,<<URY-MLD
Montevideo>>,<<Montevideo>>,<<URY-MNT
Rocha>>,<<Rocha>>,<<URY-ROC
Ceara>>,<<Ceara>>,<<BRA-CEA
